cs_101_ocena,it_101_ocena,ma_101_ocena,cs115_izostanci,cs_115_polozen,cs_115_ocena
9,5,10,9,1,9
6,10,8,9,0,5
6,10,5,2,1,7
9,6,7,0,0,5
6,8,10,12,1,7
10,10,6,8,0,5
9,5,5,8,0,5
7,7,9,12,0,5
5,10,7,12,0,5
8,6,6,12,1,5
9,7,6,7,1,7
6,9,5,6,1,5
5,6,5,7,0,5
10,8,7,15,0,5
8,5,7,2,1,7
5,7,6,4,0,5
10,9,8,14,1,8
8,5,9,6,1,5
10,6,8,0,0,5
9,5,9,12,0,5
5,10,6,1,0,5
8,7,5,6,1,8
8,9,6,7,0,5
10,5,5,8,0,5
7,6,10,9,0,5
6,6,10,8,0,5
7,5,5,2,0,5
10,9,5,10,0,5
6,9,10,6,1,9
8,8,9,2,1,7
8,6,5,0,1,8
5,5,8,8,0,5
5,7,10,11,0,5
6,8,9,0,1,6
6,5,10,12,1,9
10,7,8,7,1,8
10,6,7,14,0,5
10,9,8,12,1,9
8,8,10,8,1,6
10,7,9,8,1,5
5,5,6,14,1,7
9,10,10,11,1,6
10,5,10,14,1,6
10,7,7,12,1,9
8,7,5,13,1,6
8,10,9,2,1,10
5,6,8,0,1,5
10,8,8,4,1,10
8,9,5,8,1,6
9,10,7,14,0,5
6,10,8,0,1,7
7,9,7,4,0,5
10,6,9,3,0,5
5,5,5,12,0,5
10,7,9,12,0,5
8,6,10,0,1,10
6,8,8,1,0,5
8,10,6,3,0,5
7,9,8,14,0,5
5,6,10,6,0,5
6,8,8,6,0,5
7,8,6,4,1,5
8,6,7,1,0,5
10,8,10,2,0,5
7,6,8,13,0,5
5,7,6,0,0,5
9,10,10,5,1,8
9,5,7,14,1,8
8,5,8,0,0,5
7,6,6,9,0,5
8,5,7,0,0,5
9,9,5,7,0,5
9,7,8,12,0,5
6,10,10,6,0,5
9,10,5,4,1,7
10,9,6,5,1,9
7,10,9,4,1,10
9,7,9,7,1,8
9,10,5,2,1,7
10,10,6,7,0,5
10,7,5,13,0,5
7,6,6,5,1,7
8,9,9,14,1,8
10,7,9,14,0,5
10,7,9,13,1,8
5,9,5,8,0,5
9,5,8,4,0,5
6,8,9,14,1,5
6,10,6,3,0,5
8,7,7,15,1,5
6,9,5,8,1,6
5,7,5,15,0,5
10,6,10,13,0,5
10,5,8,13,0,5
6,10,8,15,0,5
8,6,5,7,1,5
7,6,9,3,0,5
5,7,7,2,1,5
6,6,9,3,0,5
5,10,8,11,0,5
7,7,10,12,1,9
9,9,7,1,1,10
5,9,5,3,1,10
10,6,8,1,1,8
6,7,10,6,1,5
7,9,10,13,0,5
10,6,9,11,0,5
5,7,5,14,0,5
6,6,9,6,1,5
6,6,5,15,1,5
5,5,8,7,0,5
5,8,8,9,1,8
6,7,7,5,1,5
10,8,10,4,0,5
6,8,9,0,0,5
9,9,8,8,0,5
9,10,10,1,0,5
8,8,7,2,0,5
8,10,10,8,1,9
10,7,7,3,0,5
7,9,5,15,0,5
9,7,6,6,1,9
7,5,6,12,1,5
5,5,10,4,0,5
5,10,6,6,0,5
6,9,5,4,0,5
5,8,5,10,0,5
8,5,9,2,1,9
6,7,10,2,1,10
10,9,7,10,1,7
8,9,6,12,1,6
5,10,5,15,1,5
6,7,6,7,0,5
9,5,7,11,1,5
6,7,10,8,1,8
6,10,7,8,1,9
7,9,6,11,0,5
7,10,7,9,1,5
7,8,7,5,1,6
8,8,5,2,1,8
8,6,5,9,0,5
9,10,5,14,1,8
6,10,8,3,0,5
10,6,5,4,0,5
8,6,10,8,1,9
6,6,6,7,1,5
10,7,5,6,0,5
8,6,9,0,0,5
8,7,9,12,0,5
6,6,5,11,0,5
5,7,5,2,1,8
6,10,6,3,0,5
10,10,9,4,0,5
7,6,6,3,0,5
6,6,9,10,0,5
8,7,8,1,0,5
10,6,10,9,1,9
8,7,8,2,0,5
9,6,7,3,0,5
8,6,5,9,0,5
10,8,7,1,0,5
9,7,9,15,1,8
8,7,10,9,1,9
5,9,5,12,1,7
5,10,6,0,0,5
9,7,5,10,0,5
6,8,9,3,0,5
9,10,6,1,1,6
8,7,10,14,1,6
6,5,9,5,1,6
5,10,6,9,0,5
10,10,6,7,0,5
9,5,8,0,0,5
10,7,7,6,0,5
8,8,5,9,0,5
5,7,9,6,0,5
9,9,6,1,0,5
9,6,5,15,0,5
10,10,10,1,0,5
5,7,9,10,1,9
6,6,5,15,0,5
9,7,8,13,0,5
9,5,8,13,1,6
6,5,10,10,1,9
10,10,6,13,0,5
8,10,5,7,1,9
8,8,5,6,0,5
7,5,9,6,0,5
8,8,6,4,1,6
8,9,5,1,0,5
7,9,5,10,1,6
9,9,8,9,0,5
5,5,8,4,0,5
9,8,9,2,1,8
8,10,8,15,1,8
9,8,8,11,1,7
7,5,5,15,0,5
5,10,8,11,0,5
6,10,5,11,0,5
10,9,6,2,0,5
10,5,5,15,1,5
10,9,5,2,1,9
10,6,6,6,0,5
10,9,6,8,0,5
9,10,8,0,0,5
6,8,8,10,0,5
10,5,9,9,0,5
7,9,8,13,1,8
8,8,6,11,0,5
7,9,7,0,0,5
10,7,5,11,1,9
6,5,10,11,1,9
6,10,5,0,1,8
10,9,10,9,0,5
5,9,6,13,1,6
7,9,5,14,1,8
8,9,5,2,0,5
7,7,7,9,1,5
5,7,8,15,1,6
8,6,9,8,1,9
6,10,10,1,1,9
8,5,8,0,1,10
7,7,7,5,1,5
7,6,8,3,1,5
5,7,7,2,1,5
10,7,8,1,0,5
8,9,6,1,1,10
5,10,9,4,1,10
9,6,5,1,1,7
5,5,7,7,1,8
7,6,8,6,0,5
6,5,10,15,1,8
8,6,9,15,0,5
8,7,10,4,1,7
5,7,8,1,1,9
5,6,8,9,0,5
9,7,8,2,0,5
6,10,7,0,1,7
8,6,6,6,1,7
5,8,8,6,1,7
10,7,5,4,1,7
7,7,10,0,1,10
7,5,6,9,0,5
9,10,9,9,1,9
5,10,8,6,1,8
10,7,6,12,1,6
6,9,9,13,1,6
9,8,7,12,1,9
10,7,8,12,1,6
5,6,5,1,1,5
5,5,8,1,0,5
9,7,9,7,1,5
5,5,7,14,1,5
9,8,5,15,1,5
9,6,8,3,1,7
8,9,10,12,1,7
6,5,6,10,0,5
7,6,7,6,0,5
8,6,9,5,0,5
9,10,6,8,0,5
6,5,6,12,1,7
8,6,8,15,1,8
5,8,9,15,1,8
10,10,6,11,1,5
5,8,8,15,1,8
5,10,7,12,0,5
8,8,5,4,1,8
6,7,8,3,1,10
8,8,9,15,1,7
5,9,10,9,1,9
10,5,5,10,1,8
10,10,10,2,0,5
5,6,7,10,0,5
5,10,5,5,1,7
7,9,9,4,0,5
9,9,6,14,1,5
10,10,10,6,0,5
5,8,8,12,0,5
9,6,8,5,0,5
6,10,5,7,1,9
6,7,7,0,1,6
9,10,9,4,1,10
5,9,7,7,1,8
7,9,9,8,0,5
9,7,10,9,0,5
5,10,6,15,1,8
10,6,6,6,0,5
6,10,5,4,1,6
9,9,5,1,0,5
7,7,7,11,1,7
8,7,5,7,0,5
10,8,7,5,0,5
9,6,8,13,0,5
7,7,8,7,0,5
9,10,10,2,0,5
9,7,6,5,0,5
6,8,8,2,0,5
9,7,10,11,1,5
5,10,6,9,1,6
7,6,9,7,0,5
5,5,9,9,1,9
5,7,10,0,0,5
10,5,6,8,1,5
5,7,7,9,0,5
8,5,7,7,0,5
9,7,5,7,1,7
8,5,10,10,0,5
10,10,10,5,0,5
7,6,9,7,0,5
8,9,5,8,0,5
6,9,5,1,1,7
6,8,7,4,1,7
5,6,7,11,0,5
8,6,9,3,1,10
8,8,10,13,1,7
6,9,6,13,1,5
8,10,7,13,0,5
7,5,6,12,0,5
9,8,6,14,1,6
5,6,7,10,0,5
5,8,6,13,0,5
6,9,5,12,1,9
8,6,5,15,0,5
5,9,6,0,0,5
8,10,7,0,0,5
7,9,5,8,0,5
8,8,6,9,1,8
8,6,10,11,0,5
6,10,6,5,0,5
7,10,9,12,1,7
6,8,9,15,0,5
6,10,9,5,1,8
8,9,6,9,1,5
7,5,6,15,0,5
6,5,5,1,1,7
5,8,9,13,0,5
7,8,10,6,1,7
10,7,9,3,1,7
6,10,9,13,0,5
10,9,8,6,0,5
5,7,10,3,0,5
9,5,9,15,1,6
9,9,6,8,1,6
6,10,9,4,1,10
7,10,10,4,0,5
6,10,8,1,1,10
6,7,7,3,0,5
5,10,10,5,0,5
7,6,6,10,1,6
8,7,7,3,0,5
8,7,8,8,1,8
8,5,8,8,1,9
8,8,10,10,0,5
9,10,7,3,0,5
10,10,7,1,0,5
5,5,8,4,1,7
5,7,7,10,0,5
9,6,8,15,1,5
5,9,10,13,1,7
6,6,10,10,0,5
6,6,8,9,0,5
8,7,8,3,0,5
6,7,8,13,1,5
5,7,7,0,0,5
8,5,7,4,1,7
9,9,6,14,0,5
9,10,5,11,1,6
8,10,5,0,1,7
8,10,9,3,1,6
10,8,5,8,0,5
7,8,5,14,1,8
6,7,8,3,0,5
5,9,6,7,0,5
9,9,8,8,1,9
8,5,6,0,1,10
6,10,5,2,0,5
6,8,6,4,1,8
6,5,9,14,1,8
5,5,10,9,1,8
6,10,10,7,0,5
9,8,5,1,1,7
8,9,10,11,0,5
6,5,8,14,1,6
9,8,5,8,0,5
8,7,8,13,1,8
7,9,8,12,1,5
9,9,6,6,1,9
7,5,7,7,1,8
8,9,8,15,1,5
7,5,5,0,0,5
10,10,5,4,1,7
8,9,10,11,0,5
6,5,5,8,1,8
